#漢字	音標	解釋
㥛	nbkg	
㥜	nleg	
㥝	nxbg	
㥞	nuey	
㥟	nxey	
㥠	nnhe	
㥡	nnxs	
㥢	nusg	
㥣	dffn	
㥤	cnhn	
㥥	njmy	
㥦	adwn	
㥧	ndmy	
㥨	vffn	
㥩	nftj	
㥪	novg	
㥫	nyjg	
㥬	nyuy	
㥭	ndwi	
㥮	nqbt	
㥯	eavn	
㥰	nehc	
㥱	nahd	
㥲	fhwn	
㥳	ndri	
㥴	nrhw	
㥵	nlge	
㥶	pawn	
㥷	odwn	
㥸	naln	
㥹	owvn	
㥺	nfcl	
㥻	dtsn	
㥼	ngho	
㥽	ngmy	
㥾	naak	
㥿	gqtn	
㦀	ntdp	
㦁	lpnu	
㦂	ipkn	
㦃	nutg	
㦄	ossn	
㦅	naqh	
㦆	nhtf	
㦇	noxx	
㦈	nugl	
㦉	nfpu	
㦊	nagg	
㦋	ndfj	
㦌	eeen	
㦍	nkkt	
㦎	nvfg	
㦏	nnnw	
㦐	nafy	
㦑	nnbt	
㦒	nlyg	
㦓	nqdo	
㦔	jedn	
㦕	nbtg	
㦖	nuny	
㦗	nssi	
㦘	rytn	
㦙	njmn	
㦚	unuh	
㦛	egnn	
㦜	nawc	
㦝	erqn	
㦞	fnan	
㦟	ejfn	
㦠	nouf	
㦡	nrxs	
㦢	ntvb	
㦣	tnkn	
㦤	fpgn	
㦥	npdn	
㦦	nueq	
㦧	ntfj	
㦨	nusl	
㦩	nben	
㦪	nyoc	
㦫	ntfm	
㦬	nlxy	
㦭	nfkw	
㦮	fai	
㦯	acgd	
㦰	wwai	
㦱	gafd	
㦲	faqe	
㦳	fafd	
㦴	atkd	
㦵	tfay	
㦶	agcf	
㦷	ceay	
㦸	hjay	
㦹	jgqa	
㦺	dfea	
㦻	nray	
㦼	dwea	
㦽	deav	
㦾	ynbv	
㦿	ynsi	
㧀	ynby	
㧁	ynfc	
㧂	ynld	
㧃	rnhh	
㧄	rbh	
㧅	rvt	
㧆	rmhh	
㧇	rmgg	
㧈	rxn	
㧉	rrn	
㧊	rgmh	
㧋	rdy	
㧌	ren	
㧍	ryt	
㧎	raht	
㧏	rmry	
㧐	rccy	
㧑	ryey	
㧒	rpwy	
㧓	rrcy	
㧔	rdy	
㧕	rqtb	
㧖	rynn	
㧗	rhxn	
㧘	hxrj	
㧙	rntt	
㧚	rgny	
㧛	jtyr	
㧜	ramh	
㧝	ekrj	
㧞	rtdc	
㧟	rian	
㧠	rciy	
㧡	rynw	
㧢	rldy	
㧣	rtfy	
㧤	rycq	
㧥	rtfq	
㧦	rqjg	
㧧	ryck	
㧨	rrgk	
㧩	rwgh	
㧪	rqdb	
㧫	rdmj	
㧬	awyr	
㧭	abrj	
㧮	reg	
㧯	rftx	
㧰	rtni	
㧱	wgkr	
㧲	rpsy	
㧳	rwvr	
㧴	rtry	
㧵	rdhk	
㧶	rtmt	
㧷	rgdk	
㧸	rybh	
㧹	rjgf	
㧺	rijg	
㧻	rgey	
㧼	rgey	
㧽	rldg	
㧾	rqrn	
㧿	rwwh	
㨀	rtvg	
㨁	rfhg	
㨂	rsjg	
㨃	rybg	
㨄	rmfk	
㨅	ramw	
㨆	rssy	
㨇	ibrj	
㨈	ryjg	
㨉	rnaj	
㨊	rdae	
㨋	rftj	
㨌	fprc	
㨍	fffr	
㨎	rdmd	
㨏	rmdo	
㨐	rwks	
㨑	rrbt	
㨒	rdff	
㨓	rpwg	
㨔	rdgk	
㨕	rbcl	
㨖	rgct	
㨗	rhvh	
㨘	rith	
㨙	rexd	
㨚	raqj	
㨛	ruwy	
㨜	rhyy	
㨝	rnie	
㨞	rgxi	
㨟	rmgu	
㨠	rpju	
㨡	rlge	
㨢	rcex	
㨣	rwcn	
㨤	rawy	
㨥	rxmw	
㨦	rwyc	
㨧	rcdl	
㨨	rqyl	
㨩	rotp	
㨪	rjiq	
㨫	rjtl	
㨬	rfke	
㨭	rync	
㨮	rrqq	
㨯	rybb	
㨰	ruce	
㨱	rqyg	
㨲	raps	
㨳	rpdk	
㨴	rfjn	
㨵	ruev	
㨶	rqoy	
㨷	rakg	
㨸	rpnm	
㨹	rdhv	
㨺	ramy	
㨻	lrrj	
㨼	ltkr	
㨽	rgkj	
㨾	rugi	
㨿	rhtw	
㩀	rhqy	
㩁	rpwy	
㩂	rqef	
㩃	rpau	
㩄	rmln	
㩅	rghl	
㩆	ryiy	
㩇	rvfg	
㩈	rpwk	
㩉	rwgn	
㩊	relf	
㩋	rvfj	
㩌	rxjm	
㩍	rtsm	
㩎	rjed	
㩏	rlfo	
㩐	rtff	
㩑	rgdd	
㩒	rssi	
㩓	eawr	
㩔	rnac	
㩕	rfwc	
㩖	rglg	
㩗	rmwb	
㩘	rugy	
㩙	rpaf	
㩚	rape	
㩛	rlgf	
㩜	rahl	
㩝	rype	
㩞	roos	
㩟	rpas	
㩠	roxo	
㩡	rddd	
㩢	ralw	
㩣	rnpl	
㩤	rsyt	
㩥	rfag	
㩦	rwyk	
㩧	rjai	
㩨	rdhn	
㩩	rxim	
㩪	rxdm	
㩫	rrrm	
㩬	rhoa	
㩭	rerb	
㩮	regr	
㩯	rtxi	
㩰	raks	
㩱	relf	
㩲	raky	
㩳	rwyc	
㩴	rhhy	
㩵	rhgd	
㩶	rtgr	
㩷	rpao	
㩸	rlly	
㩹	rllg	
㩺	xxfc	
㩻	qdbc	
㩼	qqfc	
㩽	skfc	
㩾	tfac	
㩿	tnty	
㪀	gfty	
㪁	wync	
㪂	rhcy	
㪃	skhc	
㪄	xjty	
㪅	gmwc	
㪆	qayc	
㪇	tfqt	
㪈	ffhc	
㪉	wgkt	
㪊	vtkc	
㪋	jfhc	
㪌	cehc	
㪍	fpbt	
㪎	dwwc	
㪏	rtfc	
㪐	yndc	
㪑	djnc	
㪒	eqhc	
㪓	tfuc	
㪔	sshc	
㪕	hjhc	
㪖	vihc	
㪗	ukhc	
㪘	wgkt	
㪙	jsty	
㪚	ajty	
㪛	dwnc	
㪜	mdmc	
㪝	slhc	
㪞	jhhc	
㪟	yjty	
㪠	uvjc	
㪡	pdhc	
㪢	ehcc	
㪣	ymkt	
㪤	jagt	
㪥	hegc	
㪦	pgmt	
㪧	wgkc	
㪨	uukc	
㪩	vfjc	
㪪	gdhc	
㪫	hpgc	
㪬	nwyc	
㪭	hllc	
㪮	fkkc	
㪯	ygj	
㪰	you	
㪱	yqmd	
㪲	ufnb	
㪳	ufkf	
㪴	fquf	
㪵	uguf	
㪶	djuf	
㪷	gkuf	
㪸	dwuf	
㪹	lvuf	
㪺	dhhf	
㪻	yxxf	
㪼	skrh	
㪽	gjrj	
㪾	tkrh	
㪿	btbr	
㫀	jjrh	
㫁	xxgr	
㫂	oaor	
㫃	ywy	
㫄	yqyr	
㫅	ywfj	
㫆	ywiy	
㫇	ywun	
㫈	ywuk	
㫉	yqdb	
㫊	ytsk	
㫋	ytmf	
㫌	ytgh	
㫍	ytwt	
㫎	ytpl	
㫏	ytsv	
㫐	jxb	
㫑	jet	
㫒	jaj	
㫓	jtnn	
㫔	jhf	
㫕	jgqb	
㫖	hjf	
㫗	jbf	
㫘	dhjf	
㫙	jgy	
㫚	qrjf	
㫛	jkqn	
㫜	jjgg	
㫝	jqay	
㫞	jbhc	
㫟	jwkg	
㫠	jugh	
㫡	jtuu	
㫢	jfcy	
㫣	jjnb	
㫤	jyni	
㫥	jqkg	
㫦	whtj	
㫧	jou	
㫨	jpvg	
㫩	fajf	
㫪	dwhj	
㫫	jgof	
㫬	jqjg	
㫭	jffu	
㫮	hxjf	
㫯	jjgq	
㫰	jyvy	
㫱	jfou	
㫲	jfpb	
㫳	dfej	
㫴	jftb	
㫵	jhdd	
㫶	jvph	
㫷	dwjf	
㫸	jgvh	
㫹	jrnr	
㫺	wwwj	
㫻	jwga	
㫼	jtgj	
㫽	jviy	
㫾	jimk	
㫿	jwyg	
㬀	jybg	
㬁	jiwk	
㬂	jjmy	
㬃	jcko	
㬄	jdfo	
㬅	jlyr	
㬆	jnaj	
㬇	jqmd	
㬈	jjlg	
㬉	jdmd	
㬊	jegc	
㬋	jwnd	
㬌	jyji	
㬍	jsfy	
㬎	jxxo	
㬏	jgkh	
㬐	jgoj	
㬑	jybb	
㬒	jada	
㬓	jsfi	
㬔	jnwe	
㬕	jpyu	
㬖	jynk	
㬗	jqdo	
㬘	jvfj	
㬙	jeto	
㬚	jyct	
㬛	jwgn	
㬜	gcfj	
㬝	julj	
㬞	jmjn	
㬟	qruj	
㬠	jqvo	
㬡	jfwc	
㬢	jugy	
㬣	jouf	
㬤	jjxo	
㬥	jbmo	
㬦	jawc	
㬧	jbmi	
㬨	jfoo	
㬩	jdhn	
㬪	jjjx	
㬫	akuj	
㬬	jhhy	
㬭	jelf	
㬮	jaky	
㬯	jyey	
㬰	jwi	
㬱	tfqj	
㬲	gjrl	
㬳	etfh	
㬴	eawy	
㬵	eury	
㬶	etfk	
㬷	elsy	
㬸	eawx	
㬹	eqvh	
㬺	eugh	
㬻	eayk	
㬼	dett	
㬽	ekkn	
㬾	atde	
㬿	eybt	
㭀	etaw	
㭁	sbt	
㭂	siy	
㭃	sxy	
㭄	snfh	
㭅	sdg	
㭆	bgsu	
㭇	scqn	
㭈	snwy	
㭉	asu	
㭊	sthn	
㭋	sdhh	
㭌	stgh	
㭍	uasu	
㭎	smry	
㭏	sfnh	
㭐	dgsu	
㭑	sfy	
㭒	sng	
㭓	scah	
㭔	stuf	
㭕	sfcy	
㭖	sway	
㭗	slf	
㭘	swgk	
㭙	sffy	
㭚	stey	
㭛	srey	
㭜	sadt	
㭝	ssvb	
㭞	site	
㭟	awsu	
㭠	stfq	
㭡	stlr	
㭢	sgaj	
㭣	sukg	
㭤	sqgg	
㭥	sqmy	
㭦	spta	
㭧	tusu	
㭨	sahb	
㭩	sefy	
㭪	ssy	
㭫	swwf	
㭬	sgey	
㭭	skej	
㭮	svgq	
㭯	sbnn	
㭰	hxsm	
㭱	salh	
㭲	swwk	
㭳	sftb	
㭴	sjcf	
㭵	sqlg	
㭶	sayt	
㭷	slet	
㭸	sqky	
㭹	sxyx	
㭺	sdjn	
㭻	simk	
㭼	sijg	
㭽	soqy	
㭾	snbm	
㭿	sjqb	
㮀	sbib	
㮁	srde	
㮂	hwsu	
㮃	stvg	
㮄	syqy	
㮅	swyf	
㮆	swuh	
㮇	sgdn	
㮈	sdfi	
㮉	swgd	
㮊	scns	
㮋	sdeb	
㮌	sdlf	
㮍	uejs	
㮎	sdhl	
㮏	ssfi	
㮐	sith	
㮑	stfe	
㮒	ssfg	
㮓	sngg	
㮔	stgf	
㮕	sdmd	
㮖	safh	
㮗	cnhs	
㮘	scnt	
㮙	skkn	
㮚	hlws	
㮛	sjgh	
㮜	sauf	
㮝	swwb	
㮞	suqk	
㮟	sdsy	
㮠	saps	
㮡	oans	
㮢	swnd	
㮣	vaqs	
㮤	pwws	
㮥	scdl	
㮦	sfpi	
㮧	sqoy	
㮨	slwt	
㮩	sthn	
㮪	saws	
㮫	spdk	
㮬	swcn	
㮭	sclf	
㮮	sdhr	
㮯	slge	
㮰	stlx	
㮱	satq	
㮲	sqbt	
㮳	seud	
㮴	sehc	
㮵	syty	
㮶	sube	
㮷	sdnj	
㮸	sudp	
㮹	sgct	
㮺	sgkk	
㮻	scyj	
㮼	synn	
㮽	stuc	
㮾	yves	
㮿	sjag	
㯀	syth	
㯁	sbuk	
㯂	saqh	
㯃	sswi	
㯄	ssrc	
㯅	sorf	
㯆	sutg	
㯇	shdf	
㯈	sskp	
㯉	shtf	
㯊	sgho	
㯋	xsdm	
㯌	sgep	
㯍	suqf	
㯎	sysy	
㯏	fnws	
㯐	bdas	
㯑	sxde	
㯒	sehq	
㯓	swgn	
㯔	eees	
㯕	sdwr	
㯖	sfln	
㯗	susy	
㯘	sffw	
㯙	syct	
㯚	stwk	
㯛	sfpg	
㯜	sayf	
㯝	skhk	
㯞	sxke	
㯟	ssvi	
㯠	syxg	
㯡	swin	
㯢	snnw	
㯣	saws	
㯤	swww	
㯥	sjsj	
㯦	sdws	
㯧	sfhk	
㯨	ssoy	
㯩	cccw	
㯪	sfwc	
㯫	shge	
㯬	ssvp	
㯭	shle	
㯮	slqj	
㯯	stgm	
㯰	slfh	
㯱	gkhs	
㯲	sssi	
㯳	saqt	
㯴	sapk	
㯵	satf	
㯶	sobt	
㯷	swog	
㯸	svhl	
㯹	ssff	
㯺	ahns	
㯻	gkhs	
㯼	safl	
㯽	spnm	
㯾	sgmp	
㯿	svln	
㰀	stqi	
㰁	sddd	
㰂	sptl	
㰃	srmi	
㰄	smaa	
㰅	syup	
㰆	gkhs	
㰇	sfag	
㰈	sslp	
㰉	sgct	
㰊	sfwo	
㰋	shhm	
㰌	sfwy	
㰍	uegs	
㰎	smwn	
㰏	styk	
㰐	sbdp	
㰑	snns	
㰒	serb	
㰓	sahm	
㰔	syoc	
㰕	sugy	
㰖	sahq	
㰗	sdhh	
㰘	sxoa	
㰙	saky	
㰚	syry	
㰛	sars	
㰜	sfhm	
㰝	nqwy	
㰞	mqwy	
㰟	rqwy	
㰠	ywqw	
㰡	wjqw	
㰢	gaqw	
㰣	hxqw	
㰤	skqw	
㰥	anqw	
㰦	fcqw	
㰧	ckqw	
㰨	kwqw	
㰩	jqwy	
㰪	ffqw	
㰫	tfqw	
㰬	qjqw	
㰭	dfnw	
㰮	dfew	
㰯	gkuw	
㰰	dwww	
㰱	tgjw	
㰲	akgw	
㰳	gfgw	
㰴	ukqw	
㰵	ywww	
㰶	thkw	
㰷	gqxw	
㰸	wgkw	
㰹	dgkw	
㰺	nhfw	
㰻	fkuw	
㰼	adww	
㰽	ajvw	
㰾	ryqw	
㰿	exdw	
㱀	qbtw	
㱁	bmfw	
㱂	oviw	
㱃	wynw	
㱄	lfow	
㱅	fpgw	
㱆	hgkw	
㱇	fwww	
㱈	ssfw	
㱉	oufw	
㱊	depw	
㱋	fwyw	
㱌	bbbw	
㱍	yxxw	
㱎	liqw	
㱏	fhf	
㱐	fhyi	
㱑	hqu	
㱒	hskf	
㱓	hwyc	
㱔	hxqu	
㱕	hvph	
㱖	hywf	
㱗	hthd	
㱘	djeh	
㱙	gqgn	
㱚	gqeg	
㱛	gqgq	
㱜	gqhy	
㱝	gqxe	
㱞	gqug	
㱟	gqby	
㱠	gqdg	
㱡	gqtq	
㱢	gqyv	
㱣	gqev	
㱤	gqsr	
㱥	gqft	
㱦	gqdk	
㱧	gqpb	
㱨	gqph	
㱩	gqfd	
㱪	gqnj	
㱫	gqsl	
㱬	gqle	
㱭	gqtc	
㱮	gqkm	
㱯	gqmu	
㱰	gqpu	
㱱	gqrc	
㱲	gqul	
㱳	ajdq	
㱴	gqgm	
㱵	gqfm	
㱶	gqfe	
㱷	gqws	
㱸	gqnu	
㱹	gqdh	
㱺	gqhl	
㱻	gqyy	
㱼	nwcy	
㱽	pqwc	
㱾	yntc	
㱿	fmgc	
㲀	dfec	
㲁	pwac	
㲂	imkc	
㲃	hjxc	
㲄	fpgc	
㲅	pdhc	
㲆	fnwc	
㲇	fnwu	
㲈	fnwk	
㲉	fpgc	
㲊	hpgc	
㲋	qkxx	
㲌	ebe	
㲍	fcev	
㲎	een	
㲏	thge	
㲐	ewyn	
㲑	eii	
㲒	qken	
㲓	eawi	
㲔	uen	
㲕	efen	
㲖	ieen	
㲗	eben	
㲘	men	
㲙	eyck	
㲚	iite	
㲛	tdke	
㲜	ooen	
㲝	ewyd	
㲞	ywwe	
㲟	amde	
㲠	fteb	
㲡	sfie	
㲢	ynme	
㲣	ehce	
㲤	ykge	
㲥	ovhe	
㲦	fjwe	
㲧	ecyj	
㲨	aben	
㲩	ejnd	
㲪	wgke	
㲫	ouge	
㲬	wyoe	
㲭	oooe	
㲮	etwk	
㲯	ahne	
㲰	pnle	
㲱	evln	
㲲	llle	
㲳	qayg	
㲴	rkhk	
㲵	ried	
㲶	rhlo	
㲷	rkkf	
㲸	inn	
㲹	iwn	
㲺	ian	
㲻	wiy	
㲼	iry	
㲽	ivyy	
㲾	piu	
㲿	iot	
㳀	iay	
㳁	idwy	
㳂	iwcy	
㳃	ivfh	
㳄	iqwy	
㳅	idhy	
㳆	iufh	
㳇	iwry	
㳈	ifqn	
㳉	ieg	
㳊	ity	
㳋	irg	
㳌	ilh	
㳍	idmh	
㳎	icah	
㳏	ikry	
㳐	isnn	
㳑	ilg	
㳒	idcy	
㳓	idkg	
㳔	icfy	
㳕	iudg	
㳖	iyey	
㳗	icyf	
㳘	iycq	
㳙	iceg	
㳚	iawy	
㳛	iewy	
㳜	iwsy	
㳝	iwtf	
㳞	iwkh	
㳟	awiu	
㳠	idpy	
㳡	ifpy	
㳢	itdj	
㳣	iftx	
㳤	iaoy	
㳥	igah	
㳦	iaah	
㳧	ibnn	
㳨	ivgq	
㳩	iamy	
㳪	idhk	
㳫	ief	
㳬	itnh	
㳭	iksy	
㳮	iniy	
㳯	iuh	
㳰	iyca	
㳱	ibjg	
㳲	iidy	
㳳	idqn	
㳴	intf	
㳵	itbg	
㳶	iebn	
㳷	iqrj	
㳸	iawx	
㳹	isgg	
㳺	irtb	
㳻	iajg	
㳼	akgi	
㳽	ixti	
㳾	iunn	
㳿	iycs	
㴀	iatp	
㴁	igdj	
㴂	iamf	
㴃	iyni	
㴄	ilwm	
㴅	ilwk	
㴆	ivph	
㴇	iiiy	
㴈	irmh	
㴉	iccf	
㴊	iubj	
㴋	ivhw	
㴌	ivdg	
㴍	ibdi	
㴎	idfi	
㴏	ipwg	
㴐	ihgn	
㴑	iout	
㴒	iyoa	
㴓	ilny	
㴔	iqvn	
㴕	iaty	
㴖	iafh	
㴗	isvg	
㴘	ijhg	
㴙	itfe	
㴚	iuey	
㴛	igct	
㴜	iyna	
㴝	tjwi	
㴞	iehj	
㴟	idjb	
㴠	ibkb	
㴡	itjg	
㴢	iiwh	
㴣	iigw	
㴤	isyg	
㴥	imie	
㴦	ipkk	
㴧	ithn	
㴨	ieud	
㴩	ivkc	
㴪	iths	
㴫	ivtb	
㴬	itmf	
㴭	ipwh	
㴮	inie	
㴯	iexj	
㴰	icex	
㴱	ipwu	
㴲	irhw	
㴳	ifdy	
㴴	iogn	
㴵	intl	
㴶	ipwy	
㴷	ibpq	
㴸	iuwy	
㴹	iopy	
㴺	iidw	
㴻	igkf	
㴼	ipwj	
㴽	iton	
㴾	ifpt	
㴿	isdm	
㵀	iytd	
㵁	iayk	
㵂	ioao	
㵃	ijpx	
㵄	iakd	
㵅	iwym	
㵆	ijtk	
㵇	itdf	
㵈	iivd	
㵉	iiss	
㵊	ijbc	
㵋	ilmy	
㵌	itrh	
㵍	iuny	
㵎	iueg	
㵏	iayf	
㵐	iduw	
㵑	iekm	
㵒	ixjm	
㵓	ipjh	
㵔	idfj	
㵕	iccn	
㵖	ivki	
㵗	ucoi	
㵘	iiii	
㵙	ifkk	
㵚	iwrq	
㵛	iuuk	
㵜	iiff	
㵝	iyek	
㵞	iton	
㵟	itmt	
㵠	ipwm	
㵡	ifqn	
㵢	iflg	
㵣	ijqw	
㵤	indw	
㵥	ipnl	
㵦	idap	
㵧	iajn	
㵨	nkui	
㵩	iaas	
㵪	iugw	
㵫	ibbj	
㵬	iebl	
㵭	ifto	
㵮	idag	
㵯	iwgo	
㵰	iegw	
㵱	isff	
㵲	itgg	
㵳	ipne	
㵴	iauh	
㵵	ibci	
㵶	ifay	
㵷	uiuh	
㵸	iwga	
㵹	imad	
㵺	itrf	
㵻	ieec	
㵼	ipeo	
㵽	illl	
㵾	igeq	
㵿	irrr	
㶀	iene	
㶁	iefw	
㶂	iiaw	
㶃	iito	
㶄	iuqe	
㶅	ierb	
㶆	iyfj	
㶇	isaw	
㶈	iooj	
㶉	iexg	
㶊	iahm	
㶋	ioeg	
㶌	ibxg	
㶍	iqou	
㶎	ilgp	
㶏	iben	
㶐	iown	
㶑	iwgw	
㶒	iuco	
㶓	iaah	
㶔	illd	
㶕	ituj	
㶖	iwho	
㶗	txxi	
㶘	itsj	
㶙	iiog	
㶚	isae	
㶛	iytw	
㶜	inuj	
㶝	iion	
㶞	ijye	
㶟	illi	
㶠	icof	
㶡	woi	
㶢	ovb	
㶣	fou	
㶤	oqy	
㶥	ofh	
㶦	ocnh	
㶧	omwy	
㶨	dhou	
㶩	opqn	
㶪	dhou	
㶫	duou	
㶬	ogsy	
㶭	oxet	
㶮	gmwo	
㶯	oqtb	
㶰	ofg	
㶱	osgg	
㶲	oeh	
㶳	vfou	
㶴	oqqy	
㶵	wtfo	
㶶	opey	
㶷	oqjg	
㶸	oeee	
㶹	oaiy	
㶺	ogdk	
㶻	tdho	
㶼	octd	
㶽	okmw	
㶾	sgou	
㶿	ofpb	
㷀	oonf	
㷁	oceh	
㷂	ahno	
㷃	odeu	
㷄	ojsy	
㷅	bcou	
㷆	otnf	
㷇	qqdo	
㷈	odjn	
㷉	nfof	
㷊	ssou	
㷋	oooy	
㷌	ovph	
㷍	owga	
㷎	ojqn	
㷏	ttfo	
㷐	oefg	
㷑	osff	
㷒	ojmy	
㷓	oqrn	
㷔	oehj	
㷕	usgo	
㷖	jovk	
㷗	tnno	
㷘	ocks	
㷙	ouej	
㷚	oyps	
㷛	wkso	
㷜	oyod	
㷝	opwd	
㷞	odjb	
㷟	otnp	
㷠	ooqg	
㷡	hano	
㷢	uaou	
㷣	ougg	
㷤	fpgc	
㷥	oobg	
㷦	boou	
㷧	odri	
㷨	omth	
㷩	taho	
㷪	owyb	
㷫	fnwo	
㷬	oajd	
㷭	tdho	
㷮	ogmj	
㷯	ofdg	
㷰	oyrc	
㷱	cefo	
㷲	otge	
㷳	dwwo	
㷴	dtto	
㷵	olfo	
㷶	wato	
㷷	onnw	
㷸	ojgg	
㷹	oahj	
㷺	qeto	
㷻	otgo	
㷼	akuo	
㷽	ouuk	
㷾	ohge	
㷿	owgw	
㸀	oymf	
㸁	oouf	
㸂	uepo	
㸃	lfho	
㸄	oyjg	
㸅	otvb	
㸆	otfd	
㸇	oggm	
㸈	wywo	
㸉	uooo	
㸊	oskm	
㸋	qotl	
㸌	ofwy	
㸍	ohga	
㸎	obbb	
㸏	osso	
㸐	akgo	
㸑	emgo	
㸒	etff	
㸓	ejf	
㸔	tudh	
㸕	rhyc	
㸖	wreg	
㸗	wrmk	
㸘	wrls	
㸙	wrfj	
㸚	rrrr	
㸛	uvkg	
㸜	upwa	
㸝	thgw	
㸞	thgn	
㸟	thgj	
㸠	thgi	
㸡	thgf	
㸢	thge	
㸣	thgf	
㸤	uthu	
㸥	thgy	
㸦	ahyi	
㸧	ahtv	
㸨	cnhh	
㸩	cfh	
㸪	ckh	
㸫	crh	
㸬	cgmh	
㸭	ccn	
㸮	cwvt	
㸯	cufh	
㸰	cpxn	
㸱	ctbn	
㸲	cthf	
㸳	cwyc	
㸴	dtgj	
㸵	cfkg	
㸶	cldy	
㸷	dhvg	
㸸	crgk	
㸹	cefy	
㸺	iitg	
㸻	cctd	
㸼	ctdh	
㸽	cmy	
㸾	cvyn	
㸿	cfpw	
㹀	cfpb	
㹁	cyiy	
㹂	ahng	
㹃	hdhg	
㹄	clwt	
㹅	cqrn	
㹆	cplh	
㹇	cjqn	
㹈	fttg	
㹉	cdri	
㹊	cpwy	
㹋	cwhe	
㹌	cutg	
㹍	cyud	
㹎	clxi	
㹏	cakg	
㹐	twwg	
㹑	cafy	
㹒	coug	
㹓	cffq	
㹔	cglg	
㹕	fqdg	
㹖	cuge	
㹗	cfnf	
㹘	cfdj	
㹙	cooh	
㹚	cook	
㹛	cdht	
㹜	ddy	
㹝	qtqa	
㹞	qtrh	
㹟	qtnw	
㹠	qtgn	
㹡	qtyx	
㹢	qtek	
㹣	qttu	
㹤	qtfc	
㹥	qtyg	
㹦	qtvk	
㹧	qtmd	
㹨	qtmg	
㹩	qtcf	
㹪	qtmg	
㹫	qtgw	
㹬	qtgr	
㹭	qtjt	
㹮	qtdj	
㹯	qtws	
㹰	qtiq	
㹱	qtkh	
㹲	qtfb	
㹳	qtgk	
㹴	qtgr	
㹵	qtga	
㹶	qttp	
㹷	rdmd	
㹸	qtrq	
㹹	qtow	
㹺	qtij	
㹻	qttv	
㹼	qtqo	
㹽	qtaa	
㹾	qttk	
㹿	qthj	
㺀	qtqn	
㺁	qtvr	
㺂	qtdk	
㺃	qtak	
㺄	qtwj	
㺅	qtqd	
㺆	qtym	
㺇	qtad	
㺈	qtbj	
㺉	fpgc	
㺊	qtun	
㺋	qtwn	
㺌	qtuw	
㺍	qtpw	
㺎	qtoh	
㺏	qtlv	
㺐	qtvs	
㺑	qtce	
㺒	qtne	
㺓	qtgm	
㺔	qteo	
㺕	qttl	
㺖	qtnt	
㺗	qtkf	
㺘	qtwo	
㺙	qtpm	
㺚	qtfp	
㺛	qtca	
㺜	qtme	
㺝	qtal	
㺞	qtew	
㺟	qtny	
㺠	qtpy	
㺡	qtdh	
㺢	qtfy	
㺣	qtha	
㺤	qtwg	
㺥	qtqy	
㺦	qtbg	
㺧	qtkk	
㺨	gcy	
㺩	gnhh	
㺪	ghy	
㺫	gjh	
㺬	gwyy	
㺭	gbg	
㺮	gfnn	
㺯	gdu	
㺰	ggmh	
㺱	wbgy	
㺲	gnhg	
㺳	ghcy	
㺴	gdy	
㺵	gqwy	
㺶	gufh	
㺷	gsyy	
㺸	wwyy	
㺹	gcah	
㺺	ghg	
㺻	ggmh	
㺼	gnhy	
㺽	gdhg	
㺾	gmkg	
㺿	gahh	
㻀	gjry	
㻁	glkg	
㻂	guah	
㻃	magy	
㻄	gtgh	
㻅	gwfc	
㻆	gceg	
㻇	gwgg	
㻈	grgk	
㻉	ghht	
㻊	gqkq	
㻋	gskg	
㻌	gwgs	
㻍	gkgd	
㻎	dggd	
㻏	gvoy	
㻐	gcwt	
㻑	gtbg	
㻒	glty	
㻓	gbcy	
㻔	gtfa	
㻕	gnbm	
㻖	gviy	
㻗	hdhy	
㻘	gpjh	
㻙	gyce	
㻚	geeg	
㻛	gjqr	
㻜	gwwh	
㻝	gskj	
㻞	gyna	
㻟	gdae	
㻠	gpwd	
㻡	gans	
㻢	gytb	
㻣	gdwn	
㻤	gaqk	
㻥	gusg	
㻦	gjmy	
㻧	gqgs	
㻨	ahny	
㻩	guvw	
㻪	gwyb	
㻫	gjag	
㻬	gffn	
㻭	gyxf	
㻮	gwfi	
㻯	ghtf	
㻰	gdhv	
㻱	gtdp	
㻲	glvg	
㻳	gatj	
㻴	gjlc	
㻵	gnbb	
㻶	gtvg	
㻷	gsmm	
㻸	gaqj	
㻹	dgey	
㻺	dtty	
㻻	gybt	
㻼	gsjh	
㻽	gwyn	
㻾	yxty	
㻿	glqj	
㼀	gfup	
㼁	gugy	
㼂	egny	
㼃	gvln	
㼄	gxxl	
㼅	goaw	
㼆	gooy	
㼇	gmwn	
㼈	glxy	
㼉	rcyq	
㼊	gbny	
㼋	drcy	
㼌	rcyy	
㼍	fsry	
㼎	rcyr	
㼏	evry	
㼐	ynmy	
㼑	slry	
㼒	rcyr	
㼓	rcyw	
㼔	jlry	
㼕	ipky	
㼖	rcyj	
㼗	sgny	
㼘	mgny	
㼙	mhgy	
㼚	ywgy	
㼛	gagy	
㼜	mdgy	
㼝	qbgy	
㼞	gufy	
㼟	rgny	
㼠	pxgy	
㼡	tfgy	
㼢	ahky	
㼣	djgy	
㼤	dhvy	
㼥	ftgy	
㼦	awyy	
㼧	cegy	
㼨	wyny	
㼩	dngy	
㼪	dwwy	
㼫	jsgy	
㼬	fufy	
㼭	fhky	
㼮	gvhy	
㼯	sjgy	
㼰	rtfy	
㼱	uxpy	
㼲	dmjy	
㼳	ithy	
㼴	jmhy	
㼵	jghy	
㼶	wgey	
㼷	mdmy	
